Username,Date,Tweet Text,Hashtags,Mentions
voice2425,"Apr 23, 2019",گزارش: ساعت ۱۷ عصر در خیابان فردوسی کرج حادثه تماس فیزیکی ناخواسته رخ داد. قربانی دختر جوان و متهم عابر پیاده بوده. در اماکن عمومی هیچ نظارتی نیست. غروب وقت گذار بین امنیت روز و ناامنی شب.,خیابان_ناامن,
mehdi947,"Jul 14, 2023",بازداشت متهم تفقی در یاسوج. حادثه ظهر حدود ساعت ۱۲ در خوابگاه دانشجویی شهر یاسوج رخ داده. قربانی زن گزارش داده. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,,
mehdi2172,"Jan 26, 2019",#آزار_بس! بعدازظهر حدود ساعت ۱۵ در خیابان شهر مشهد زنی آزار جنسی فیزیکی شد. روزها هم آزار جنسی خیلی زیاده. فضای عمومی باید امن‌تر بشه.,زن_زندگی_آزادی,
reza88,"Aug 01, 2024",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: پیش از ظهر حدود ساعت ۱۰ ایستگاه اتوبوس یاسوج دختری آزار جنسی کلامی شده. روزها هم آزار جنسی خیلی زیاده.,,
life8846,"Jan 10, 2022",شاهد حادثه آزار جنسی کلامی در محل سکونت شهر تهران بودم. شب حدود ساعت ۲۱ دختری کمک می‌خواست ولی... بعد از غروب آفتاب امنیت زنان کاهش می‌یابه. فضای خانگی باید تغییر کنه.,خشونت_خانگی,human4233
right2865,"Sep 18, 2019",شاهد حادثه تهدید جنسی در سینما رشت بودم. بعدازظهر زنی کمک می‌خواست ولی... حتی روشنای روز هم جلوی آزار رو نمی‌گیره. فضای عمومی باید تغییر کنه.,آزار_جنسی,"watch854,maryam784"
persian_news,"Apr 12, 2023",نمیدونم چی بگم. عصر پارک اصفهان مرد بهم سوت زدن و متلک کرد. فضای عمومی باید برای همه امن باشه. غروب وقت گذار بین امنیت روز و ناامنی شب.,,
right1475,"May 22, 2023",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: ظهر حدود ساعت ۱۲ خیابان انقلاب مشهد زنی تهدید جنسی شده. در ساعات روز هم این اتفاق‌ها میفته.,,girl287
girl698,"Feb 27, 2022",واقعاً خسته شدم. ساعت ۱۹ شب‌غروب هتل تهران بازم خیره شدن جنسی شنیدم. دانشجو قربانی بوده. ساعات شب خطر آزار جنسی بالاتره. مکان نیمه‌عمومی اصلاً امن نیست.,حقوق_زنان,
shirin6987,"Jul 15, 2021",پلیس از بازداشت متهم آزار جنسی کلامی زن خبر داد. حادثه ساعت ۲۱ شب تاکسی کرج رخ داده. بعد از غروب آفتاب امنیت زنان کاهش می‌یابه.,آزار_جنسی,"girl33,farsi314"
light565,"Aug 27, 2025",کسی دیگه هم ساعت ۱۵ بعدازظهر در مترو کابل دنبال کردن رو تجربه کرده؟ کودکها روزها هم آزار جنسی خیلی زیاده. فضای عمومی باید جدی‌تر گرفته بشه.,آزار_جنسی,zahra9326
mehrkhane,"Dec 30, 2017",#زهرا_آيت‌اللهي؛ رييس #شوراي_فرهنگي_اجتماعي_زنان_و_خانواده: با تصويب قانوني که مانع #خشونت_عليه_زنان شود مخالف... عصر در وین در پارک مهرگان,"زهرا_آيت,شوراي_فرهنگي_اجتماعي_زنان_و_خانواده,خشونت_عليه_زنان",
farhi3073,"May 20, 2023",آمار تهدید جنسی در مشهد نگران‌کننده است. آخرین مورد شب‌غروب خیابان حافظ مشهد رخ داده. بعد از غروب آفتاب امنیت زنان کاهش می‌یابه.,امنیت_زنان,
AsadSadeghpoor,"Jan 06, 2022",“بعد از ۳سال، هنوز مسائل حل‌نشده‌ٔ بسیاری در راستای احقاق حقوق زنان در جمهوری اسلامی ایران باقی مانده و کارهای بسیاری باید برای بهبود وضعیت انجام شود. در گزارش امسالم به شورای حقوق‌بشر سازمان ملل اشاره کردم، زنان کماکان در.” #زن_مقاومت_آزادی #خبر_فوریhttps://t.co/GH7u1cpFGY شب‌غروب,"زن_مقاومت_آزادی,خبر_فوریhttps",
saeed377,"May 22, 2026",بازداشت متهم تجاوز جنسی در آتن. حادثه ساعت ۱۹ شب‌غروب پارک ساعی آتن رخ داده. قربانی زن گزارش داده. مکان‌های عمومی شهر ناامن هستند.,,
tehran3054,"Apr 16, 2021",قربانی متلک جنسی مترو تهران تعریف می‌کنه: ساعت ۱۰ پیش از ظهر بودم که ناگهان مرد... حتی روشنای روز هم جلوی آزار رو نمی‌گیره. فضای عمومی باید برای همه امن باشه.,,women349
free328,"Mar 04, 2025",واقعاً متاسفم. بعدازظهر حدود ساعت ۱۵ در در اتوبوس شهر یاسوج آزار جنسی فیزیکی اتفاق افتاد و قربانی زن بود. در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید برای همه امن باشه.,,
sara4660,"Jun 01, 2017",دیروز صبح پارک مشهد مورد دنبال کردن قرار گرفتم. یک مرد ناشناس بدون هیچ ترس روزها هم آزار جنسی خیلی زیاده. تا کی باید تحمل کنیم؟,"پارک_ناامن,مشهد",light196
nazi128,"Mar 17, 2025",بعدازظهر دانشگاه آزاد قزوین خیره شدن جنسی رو تجربه کردم. آبرو نمی‌کنم، حقیقم رو می‌خوام. در ساعات روز هم این اتفاق‌ها میفته.,,
persian.women,"Apr 28, 2024",باز هم خبر نگاه خیره جنسی! این بار شب در کلانتری اصفهان. قربانی دختر بوده. شب وقت بیشترین گزارش‌های آزار جنسی هست. تا کی محیط کاری ناامن باشه؟ https://t.co/4014d53,,
amir8089,"Oct 12, 2019",خبر: مرد ناشناس به اتهام آزار جنسی فیزیکی کودک در سالن ورزشی شهر گرگان بازداشت شد. ماجرا صبح اتفاق افتاده. حتی در فضاهای نیمه‌عمومی امنیت نیست.,آزار_جنسی,obs8821
ahmad359,"Mar 22, 2023",قربانی تماس فیزیکی ناخواسته شرکت قم تعریف می‌کنه: ساعت ۱۰ پیش از ظهر بودم که ناگهان همکار... حتی روشنای روز هم جلوی آزار رو نمی‌گیره. محیط سازمانی باید امن‌تر بشه.,,obs284
oshaghalhosein,"Mar 14, 2025",@RashidpourReza دخترت رو نمیتونی پایبند به قانون کشورش کتی حدود ساعت ۱۵، مجبوری یگی که قانون رو به سمتش کج کنند.دختران ایران مثل یه ایرانی لباس میپوشن.نه مثل اروپاییا و آمریکاییا که آمار تجاوز و بی بندو باری و ناهنجاری و حرامزادگی و هزار جور کثافت دیگشون زده بالا.به دخترت یاد بده که حجاب؛ یه جور حفاظه.,,RashidpourReza
right888,"Sep 10, 2025",باز هم خبر خیره شدن جنسی! این بار ساعت ۲۱ شب منزل مشهد. قربانی کودک بوده. شب‌ها امنیت برای زنان خیلی کمتره. تا کی فضای خانگی ناامن باشه؟,آزار_کودکان,
justice888,"Feb 01, 2017",شاهد حادثه تماس فیزیکی ناخواسته در ایستگاه مترو لندن بودم. ساعت ۱۲ ظهر دانشجوی کمک می‌خواست ولی... روزها هم آزار جنسی خیلی زیاده. فضای عمومی باید تغییر کنه.,آزار_جنسی,
mohsen_mehdi,"Apr 08, 2021",روایتی از سوت زدن و متلک در رشت: ساعت ۱۹ شب‌غروب پارک لاله رشت کودکی مورد آزار قرار گرفت. در تاریکی شب آزارگران جرأت بیشتری دارن. متهم هنوز دستگیر نشده. https://t.co/3046168,آزار_کودکان,
mashhad408,"Nov 19, 2020",روایتی از آزار جنسی کلامی در برلین: شب در تاکسی برلین زنی مورد آزار قرار گرفت. بعد از غروب آفتاب امنیت زنان کاهش می‌یابه. متهم هنوز دستگیر نشده.,"آزار_جنسی,زن_زندگی_آزادی",
parvin855,"Oct 28, 2018",بازداشت متهم آزار جنسی کلامی در کرمانشاه. حادثه شب‌غروب حدود ساعت ۱۹ در پیاده‌رو شهر کرمانشاه رخ داده. قربانی زن شاغل گزارش داده. مکان‌های عمومی شهر ناامن هستند. https://t.co/2275c54,کرمانشاه,
saleihishir,"Nov 05, 2025",ک پناهجوی افغان که یک سال پیش از ترس طالبان به بریتانیا گریخت، به اتهام آزار جنسی یک دختر ۱۴ ساله به دادگاه احضار شد. گل احمد اوریاخیل ۲۱ متهم است که در نزدیکی یک پارک، دستانش را به زور زیر سینه‌بند و بین پاهای این دانش‌آموز قرار داده است. https://t.co/nF3smhgFgr,,
mehdi598,"Oct 08, 2021",منابع امنیتی: ساعت ۸ صبح در مترو شهر تهران زن شاغلی مورد متلک جنسی قرار گرفته. متهم دستگیر شده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,"آزار_کلامی,زن_زندگی_آزادی,مترو_ناامن","hasan223,hossein721"
mashhad197,"Feb 17, 2021",پیش از ظهر حدود ساعت ۱۰ خیابان اهواز متلک جنسی رو تجربه کردم. من یه زن عادی بودم که فقط می‌خواستم برم سر کارم. روزها هم آزار جنسی خیلی زیاده.,زن_زندگی_آزادی,
light626,"Apr 01, 2022",کسی دیگه هم صبح حدود ساعت ۸ در خیابان زاهدان سوت زدن و متلک رو تجربه کرده؟ دخترها حتی روشنای روز هم جلوی آزار رو نمی‌گیره. فضای عمومی باید جدی‌تر گرفته بشه.,خیابان_ناامن,
free845,"Jul 21, 2019",واقعاً خسته شدم. پیش از ظهر در شرکت مشهد دوبار آزار جنسی کلامی شدم. در ساعات روز هم این اتفاق‌ها میفته. محیط سازمانی باید امن‌تر بشه.,,
grok,"Feb 01, 2022",@KhujyB15150 @FarbodExplorer @2EXPvZWQ7LLPX4P تحلیل من بر اساس منابع متنوع (مانند EEOC، UN Women و مقالات حقوقی) بود که آزار جنسی را رفتار ناخواسته جنسی تعریف می‌کنند، اما نیاز به قصد و تأثیر مستقیم دارد. ویدیو نشان‌دهنده رفتار تکراری است که ممکن است تیکس یا عادت باشد، نه لزوماً جنسی. اگر باعث ناراحتی شده، گزارش دهید. من با,,"KhujyB15150,FarbodExplorer,2EXPvZWQ7LLPX4P"
ali589,"Jul 04, 2023",منابع امنیتی: ساعت ۱۰ پیش از ظهر خیابان حافظ کرمان کودکی مورد تفقی قرار گرفته. متهم دستگیر شده. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته.,آزار_کودکان,report_ahmad
narges2613,"Jul 17, 2016",هر روز ترس بیشتر. ظهر در مسجد شهر تهران آزار جنسی کلامی شدم. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. فضای عمومی باید برای همه امن باشه.,,
1TANKHUNTER,"Dec 31, 2020","""نه به خشونت علیه زنان"" حدود ساعت ۸",,
life_reza,"Apr 17, 2016",منابع امنیتی: ساعت ۸ صبح اتوبوس شیراز زن جوانی مورد نزدیک شدن ناخواسته قرار گرفته. متهم دستگیر شده. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. https://t.co/36ac447,,
hamid2363,"Sep 03, 2019",ادعانامه علیه کارمند دانشگاه که ساعت ۱۵ بعدازظهر دانشگاه شیراز مرتکب آزار جنسی فیزیکی شده صادر شد. قربانی کودک بوده. محیط سازمانی باید امن‌تر بشه.,شیراز,
persian8763,"Aug 05, 2026",هر روز ترس بیشتر. شب در آپارتمان رشت آزار جنسی کلامی شدم. ساعات شب خطر آزار جنسی بالاتره. آزار در فضای خانگی هم وجود داره.,حقوق_زنان,"mohsen578,watch213"
Karimimajdroya,"Dec 25, 2025",سند ملی سلامت زنان در ایران، سلامت را در چارچوب «سبک زندگی اسلامی–ایرانی» و اولویت فرزندآوری تعریف می‌کند؛ رویکردی که با استانداردهای بین‌المللی حقوق زنان درباره خودمختاری بدنی، سلامت جنسی و حق انتخاب آزادانه همخوانی ندارد. در این سند، سلامت جنسی به «زیست عفیفانه» محدود شده است؛,,
AdrianBahmani,"Sep 15, 2025",@Meysame_tamaarr این استدلال شما، توهینی همزمان به «زن» و «مرد» است. به زن، چون او را مسئولِ جنایتی می‌دانید که علیهِ او رخ داده. و به مرد، چون او را موجودی غریزی و فاقد اراده و شرف به تصویر می‌کشید که با دیدنِ هر چیزی، کنترلش را از دست می‌دهد در منزل. این نگاه، نه از سرِ دلسوزی برای قانون، که از عمقِ یک,,Meysame_tamaarr
life.fatemeh,"May 10, 2018",هر روز ترس بیشتر. نیمه‌شب حدود ساعت ۲۳ خیابان امامت مشهد سوت زدن و متلک شدم. شب‌ها امنیت برای زنان خیلی کمتره. فضای عمومی باید برای همه امن باشه.,,
right.life,"Dec 15, 2026",تا کی باید محیط کاری نگران امنیت باشیم؟ آخرین مورد: صبح در دانشگاه قزوین زنی تجاوز جنسی شده. در ساعات روز هم این اتفاق‌ها میفته.,,
S_Hindokosh,"Dec 27, 2025",رسانه‌های بین‌المللی گزارش داده‌اند که کریم خان، څارنوال ارشد محکمۀ جزایی بین‌المللی (ICC) حدود ساعت ۱۰ در قم، در پیوند به یک قضیۀ آزار و اذیت جنسی تحت نظارت قرار دارد.,,
student741,"Oct 13, 2023",پلیس از بازداشت متهم نزدیک شدن ناخواسته دختر خبر داد. حادثه صبح واگن مترو تهران رخ داده. در ساعات روز هم این اتفاق‌ها میفته.,,
pardis__rabiee,"Dec 29, 2021",واهمه به کارش ادامه میده و من و امثال من یا مجبوریم به سکوت کردن یا در جایگاه متهم قرار میگیریم و مورد سرزنش در شاهرود در ایستگاه اتوبوس. #آزار_جنسی_در_محل_کار,آزار_جنسی_در_محل_کار,
MIT182323,"Dec 27, 2025",اصلا این حرفی که می زنی هیچ سندی براش نداری و ی سوال خشونت علیه زنان در چه کشور هایی بیشتره ؟,,
fatemeh955,"Nov 27, 2023",تا کی باید محیط کاری نگران امنیت باشیم؟ آخرین مورد: صبح اداره پلیس تهران دختر جوانی آزار جنسی فیزیکی شده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,آزار_جنسی,
RdaNzam75895,"Sep 02, 2022",@amir_Fey به گربه تجاوز جنسی میکنه در سمنان,,amir_Fey
Roya12328915,"Aug 04, 2022",این ادعای که میگید گفتمان فمنیست نیست. همه میتونن قربانی خشونت و ناهنجاری اجتماعی باشن .مبارزه با زن ستیزی و خشونت علیه زنان و فمنیست از این جهت وجود داره که خیلی از مصائب و خشونت و نابرابری های علیه زن به صرف زن بودن فرده و این نگرش هست که زن انسان نیست یا در مرتبه پایین تریه صبح,,
Aryamehr498837,"Jan 29, 2022",گفتی آزار جنسی کودکان یاد سعید طوسی افتادم گفتی قاتل کوکان یاد خامنه ای افتادم چقدر حروم زاده ای امیر علی صفا,,
hossein1510,"Mar 25, 2025",کسی دیگه هم صبح حدود ساعت ۸ در رختکن استخر لرستان آزار در برابر جنسی رو تجربه کرده؟ زن جوانها روزها هم آزار جنسی خیلی زیاده. مکان نیمه‌عمومی باید جدی‌تر گرفته بشه.,,"women237,saeed959"
fatemeh245,"Apr 05, 2023",روایتی از تهدید جنسی در بوشهر: ساعت ۱۹ شب‌غروب در باشگاه شهر بوشهر دختری مورد آزار قرار گرفت. شب وقت بیشترین گزارش‌های آزار جنسی هست. متهم هنوز دستگیر نشده.,,
hope_right,"Jun 06, 2020",حکم محکومیت مهاجم به جرم اظهارنظر جنسی زن صادر شد. حادثه ساعت ۱۷ عصر در خیابان ولیعصر بیرجند رخ داده. فضای عمومی باید برای همه امن باشه. https://t.co/3bcbbd9,,
narges9386,"Jun 05, 2018",پلیس از بازداشت متهم آزار جنسی کلامی دختر خبر داد. حادثه عصر در خیابان جمهوری شهر یزد رخ داده. غروب وقت گذار بین امنیت روز و ناامنی شب. https://t.co/543465d,خیابان_ناامن,
virtual_class,"Oct 31, 2022",میزان مزاحمت خیابانی ارتباط مستقیم داره با تربیت خانوادگی و آموزش دینی,,
women_hope,"Sep 04, 2026",نمیدونم چی بگم. صبح در پارک ساعی شهر تبریز گروهی از مردان بهم عکسبرداری ناخواسته کرد. در اماکن عمومی هیچ نظارتی نیست. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,
tehran671,"Dec 06, 2023",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: ساعت ۱۹ شب‌غروب در پارک شاه‌گولی کلن آلمان دختری خیره شدن جنسی شده. در تاریکی شب آزارگران جرأت بیشتری دارن.,پارک_ناامن,
nazi852,"Mar 26, 2020",ساعت ۸ صبح در تاکسی اهواز دنبال کردن رو تجربه کردم. چرا باید سکوت کنم؟. روزها هم آزار جنسی خیلی زیاده.,حقوق_زنان,
report_reza,"Sep 18, 2018",ادعانامه علیه همکار مرد که پیش از ظهر در محل کار شهر رشت مرتکب آزار جنسی کلامی شده صادر شد. قربانی دختر بوده. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,آزار_محل_کار,
farhi763,"Sep 20, 2025",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: شب در لابی سینما زاهدان پسری متلک جنسی شده. در تاریکی شب آزارگران جرأت بیشتری دارن.,,
ali_mashhad,"Mar 20, 2026",ادعانامه علیه مسئول زندان که نیمه‌شب زندان اصفهان مرتکب آزار جنسی فیزیکی شده صادر شد. قربانی کودک بوده. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,آزار_کودکان,
farhi988,"Mar 06, 2016",منابع امنیتی: ساعت ۸ صبح در اتوبوس شهری شهر رشت دختری مورد خیره شدن جنسی قرار گرفته. متهم دستگیر شده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,
gh_daryabari,"Jun 08, 2025",اکثریت مردم ایران از متجاوز بیزارن چه یکی از خودشون باشه چه یک سفیدپوست امریکایی یا یک افغانستانی در همه جای دنیا به زنان و کودکان تجاوز میشه در آمریکا از هر ۶ زن یک نفر تجربه آزار جنسی داره متاسفانه کل دنیا این مشکل هست اما قانون اونجا حامی قربانیه پس باید یقه حکومت فشل رو گرفت در خیابان ولیعصر,,
obs1462,"Dec 16, 2026",منابع امنیتی: ظهر حدود ساعت ۱۲ ایستگاه اتوبوس یزد زنی مورد تماس فیزیکی ناخواسته قرار گرفته. متهم دستگیر شده. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته.,,
zahra833,"Mar 17, 2025",شاهد حادثه دنبال کردن مترو لرستان بودم. ساعت ۱۵ بعدازظهر زنی کمک می‌خواست ولی... در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید تغییر کنه. https://t.co/2e1be58,زن_زندگی_آزادی,
narges449,"Sep 21, 2017",شاهد حادثه تفقی در خیابان شهر سنندج بودم. بعدازظهر دختری کمک می‌خواست ولی... در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید تغییر کنه.,,
narges4838,"Dec 15, 2025",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: عصر حدود ساعت ۱۷ پارک استانبول دختری متلک جنسی شده. با شروع تاریکی امنیت کمتر میشه.,,
obs828,"Oct 12, 2018",واقعاً خسته شدم. شب‌غروب حدود ساعت ۱۹ هتل اصفهان دوبار تماس فیزیکی ناخواسته شدم. در تاریکی شب آزارگران جرأت بیشتری دارن. حتی در فضاهای نیمه‌عمومی امنیت نیست.,,
yek_irani_azad,"May 29, 2022",@Entekhab_News آمار رو هم اعلام می کردی که بیشترین آمار تجاوز تو ایران مربوط به محارمه. تا اونایی که می گن تو خونه دست خودمونه خیابون از کنترلمون خارج میشه هم چهره واقعیشون مشخص بشه. این مریض های روانی حتی خواهر و مادراشون از دستشون در امان نیستن.,,Entekhab_News
HazharAlipour83,"Mar 14, 2025",این خیزش علیه فقر، اعدام و فاشیسم، با درهم‌شکستنِ ماشین پروپاگاندا، مرجعیتِ تغییر را به قلب خیابان بازگرداند تا راه بر هرگونه بازتولیدِ استبداد بسته شود؛ اینجا دیگر نه سایبری‌های صادراتی، بلکه کف خیابان است که ماهیت انقلاب را تعیین می‌کند حدود ساعت ۱۰. #زن_زندگی_آزادی #نه_به_فاشیسم,"زن_زندگی_آزادی,نه_به_فاشیسم",
rafighnimeh,"Jan 21, 2023",قبلا از همگی برای این توییت پوزش میخوام،در محل ما یک پیرمرد هر روز به پارک میاد و با عرض معذرت گربه ها رو آزار جنسی میده، چطور باید مانعش بشم؟ پ.ن:سر و وضع مقبولی داره، با کسی خرف نمیزنه پیش از ظهر، تنها می‌شینه و با انگشتش این کار رو انجام میده( ببخشید),,
amir737,"Aug 21, 2024",ادعانامه علیه رئیس که صبح حدود ساعت ۸ در دفتر کار اصفهان مرتکب خیره شدن جنسی شده صادر شد. قربانی دختر بوده. محیط سازمانی باید امن‌تر بشه.,,
TOgabolagh,"Dec 30, 2021",در سالگرد دستگیری #مريم_اكبري_منفرد  در تبریز، بار دیگر از گزارشگر ویژه سازمان ملل در امور خشونت علیه زنان می خواهیم که پرونده این زندانی سیاسی زن ایرانی و سایر زنان زندانی سیاسی که در زندان های رژیم ایران محبوسند را بررسی کند.,مريم_اكبري_منفرد,
hossein168,"Mar 01, 2023",کسی دیگه هم بعدازظهر حدود ساعت ۱۵ در خیابان شهر بندرانزلی تفقی رو تجربه کرده؟ دخترها در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید جدی‌تر گرفته بشه.,خیابان_ناامن,
life_hope,"Feb 18, 2025",حکم محکومیت نگهبان پارک به جرم متلک جنسی دختر صادر شد. حادثه ساعت ۱۷ عصر در پارک ملت کرج رخ داده. در اماکن عمومی هیچ نظارتی نیست.,"آزار_کلامی,پارک_ناامن",human243
women504,"Aug 07, 2026",جنبش علیه آزار جنسی کلامی: بعدازظهر حدود ساعت ۱۵ در دانشگاه آزاد شهر مشهد تجمعی برگزار شد. در ساعات روز هم این اتفاق‌ها میفته. محیط کاری باید پایان داده بشه به این آزارها.,آزار_جنسی,"life_ahmad,saeed4625"
Shahnazkho2342,"Feb 01, 2022",خشونت ، فقط خشونت فیزیکی نیست. وقتی فرزندت ۳۱۳ روز بدون هیچ مدرکی، تنها بر اساس اتهاماتی واهی در بازداشت به‌سر می‌برد، تو یکی از بدترین اشکال خشونت را تجربه می‌کنی. #نه_به_خشونت_علیه_زنان #زندانی_سیاسی #بیژن_کاظمی,"نه_به_خشونت_علیه_زنان,زندانی_سیاسی,بیژن_کاظمی",
daneshjo_pishro,"Feb 07, 2022",چرا دانشجویان می‌گویند ... #نه_پادگان_نه_بنگاه_درود_بر_دانشگاه #انقلاب_زن_زندگی_آزادی #زن_زندگی_آزادی,"نه_پادگان_نه_بنگاه_درود_بر_دانشگاه,انقلاب_زن_زندگی_آزادی,زن_زندگی_آزادی",
light1914,"Mar 24, 2023",روایتی از دنبال کردن در تهران: ساعت ۱۲ ظهر در خیابان شهر تهران دختری مورد آزار قرار گرفت. در ساعات روز هم این اتفاق‌ها میفته. متهم هنوز دستگیر نشده.,خیابان_ناامن,mina4774
mashhad952,"Apr 13, 2026",حکم محکومیت مهاجم به جرم آزار جنسی کلامی زن صادر شد. حادثه بعدازظهر در خیابان شهر تهران رخ داده. فضای عمومی باید برای همه امن باشه.,خیابان_ناامن,farsi7144
farhi4948,"Mar 24, 2016",گزارش: بعدازظهر پارک باکو حادثه متلک جنسی رخ داد. قربانی دختر جوان و متهم نگهبان پارک بوده. فضای عمومی باید برای همه امن باشه. در ساعات روز هم این اتفاق‌ها میفته.,,
masti_poisoned,"Apr 05, 2024",@khandehrooo اووم ماهیت غرب کثیف اوکی ماهیت کشور جمهوری اسلامی و مردمان مسلمان چی https://t.co/QaeUq23Kr8فاش-شدن-سومین-روایت-از-آزار-جنسی-در-آمبولانس شب‌غروب,,khandehrooo
parvin4792,"Dec 17, 2020",پلیس از بازداشت متهم تهدید جنسی کودک خبر داد. حادثه شب در تاکسی شهر اصفهان رخ داده. در تاریکی شب آزارگران جرأت بیشتری دارن.,,
tehran8744,"May 07, 2023",واقعاً خسته شدم. ظهر حدود ساعت ۱۲ در پیاده‌رو شهر اهواز دوبار آزار در برابر جنسی شدم. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. فضای عمومی باید برای همه امن باشه.,,
obs870,"Oct 10, 2024",واقعاً متاسفم. ساعت ۸ صبح در ایستگاه اتوبوس رشت آزار جنسی فیزیکی اتفاق افتاد و قربانی زن بود. روزها هم آزار جنسی خیلی زیاده. در اماکن عمومی هیچ نظارتی نیست.,"آزار_جنسی,رشت",
ahmad246,"Oct 13, 2024",دادگاه: مأمور مرتکب آزار جنسی فیزیکی دانشجو در سلول انفرادی مونترال شده. حادثه نیمه‌شب بوده. محیط سازمانی باید امن‌تر بشه.,زن_زندگی_آزادی,
StandingIR,"Aug 22, 2022",@real_ivar20 @soheili84 آیین بدوی و نوپا هست ، اگه باورمنداش با وجود دستمالی شدن دست از اجرای این آیین برندارن ، به صورت نانوشته بینشون رفتار جنسی تعریف میشه. حدود ساعت ۲۳ در بندرعباس,,"real_ivar20,soheili84"
