Username,Date,Tweet Text,Hashtags,Mentions,Date_parsed,Year,Month,Day,Hour,DayOfWeek,WeekDayName,Season,YearMonth,Iran_Relevance,Event_Hour,Time_of_Day,Cities,Locations,Environment_Type,Harassment_Types,Emotions,Is_Victim_Blaming,Narrative_Type,Solutions,Inferred_Gender,Gender_Confidence,Men_Stance,Toxicity_Score_Original,Toxicity_Score
life8846,"Jan 10, 2022",شاهد حادثه آزار جنسی کلامی در محل سکونت شهر تهران بودم. شب حدود ساعت ۲۱ دختری کمک می‌خواست ولی... بعد از غروب آفتاب امنیت زنان کاهش می‌یابه. فضای خانگی باید تغییر کنه.,خشونت_خانگی,human4233,2022-01-10,2022,1,10,0,0,Monday,Winter,2022-01,Iran,21.0,Night,['Tehran'],['Home'],Private,['Domestic/Family Harassment'],['Hope'],False,Public Opinion/Reshare,,Female,0.7,,0.0,0.0
right2865,"Sep 18, 2019",شاهد حادثه تهدید جنسی در سینما رشت بودم. بعدازظهر زنی کمک می‌خواست ولی... حتی روشنای روز هم جلوی آزار رو نمی‌گیره. فضای عمومی باید تغییر کنه.,آزار_جنسی,"watch854,maryam784",2019-09-18,2019,9,18,0,2,Wednesday,Fall,2019-09,Iran,,Afternoon,['Rasht'],,Unknown,['Unclassified'],['Hope'],False,Public Opinion/Reshare,,Female,0.7,,0.0,0.0
persian_news,"Apr 12, 2023",نمیدونم چی بگم. عصر پارک اصفهان مرد بهم سوت زدن و متلک کرد. فضای عمومی باید برای همه امن باشه. غروب وقت گذار بین امنیت روز و ناامنی شب.,,,2023-04-12,2023,4,12,0,2,Wednesday,Spring,2023-04,Iran,,Evening,['Isfahan'],['Park'],Public,['Verbal Harassment'],['Fear'],False,First-person (Victim),,Male,0.7,Neutral/Unclassified,0.0,0.0
right1475,"May 22, 2023",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: ظهر حدود ساعت ۱۲ خیابان انقلاب مشهد زنی تهدید جنسی شده. در ساعات روز هم این اتفاق‌ها میفته.,,girl287,2023-05-22,2023,5,22,0,0,Monday,Spring,2023-05,Iran,12.0,Afternoon,['Mashhad'],['Street'],Public,['Unclassified'],['Neutral'],False,Public Opinion/Reshare,,Female,0.7,,0.0,0.0
girl698,"Feb 27, 2022",واقعاً خسته شدم. ساعت ۱۹ شب‌غروب هتل تهران بازم خیره شدن جنسی شنیدم. دانشجو قربانی بوده. ساعات شب خطر آزار جنسی بالاتره. مکان نیمه‌عمومی اصلاً امن نیست.,حقوق_زنان,,2022-02-27,2022,2,27,0,6,Sunday,Winter,2022-02,Iran,19.0,Night,['Tehran'],,Unknown,['Unclassified'],['Neutral'],False,First-person (Victim),,Female,0.9,,0.0,0.0
shirin6987,"Jul 15, 2021",پلیس از بازداشت متهم آزار جنسی کلامی زن خبر داد. حادثه ساعت ۲۱ شب تاکسی کرج رخ داده. بعد از غروب آفتاب امنیت زنان کاهش می‌یابه.,آزار_جنسی,"girl33,farsi314",2021-07-15,2021,7,15,0,3,Thursday,Summer,2021-07,Iran,21.0,Night,['Karaj'],"['Taxi', 'Prison']",Transport,['Unclassified'],['Neutral'],False,News/Report,['Security/CCTV'],Female,0.7,,0.0,0.0
farhi3073,"May 20, 2023",آمار تهدید جنسی در مشهد نگران‌کننده است. آخرین مورد شب‌غروب خیابان حافظ مشهد رخ داده. بعد از غروب آفتاب امنیت زنان کاهش می‌یابه.,امنیت_زنان,,2023-05-20,2023,5,20,0,5,Saturday,Spring,2023-05,Iran,,Night,['Mashhad'],['Street'],Public,['Unclassified'],['Neutral'],False,Public Opinion/Reshare,,Unknown,0.0,,0.0,0.0
AsadSadeghpoor,"Jan 06, 2022",“بعد از ۳سال، هنوز مسائل حل‌نشده‌ٔ بسیاری در راستای احقاق حقوق زنان در جمهوری اسلامی ایران باقی مانده و کارهای بسیاری باید برای بهبود وضعیت انجام شود. در گزارش امسالم به شورای حقوق‌بشر سازمان ملل اشاره کردم، زنان کماکان در.” #زن_مقاومت_آزادی #خبر_فوریhttps://t.co/GH7u1cpFGY شب‌غروب,"زن_مقاومت_آزادی,خبر_فوریhttps",,2022-01-06,2022,1,6,0,3,Thursday,Winter,2022-01,Iran,,Night,,['University'],Organizational,['Unclassified'],['Neutral'],False,News/Report,['International Pressure'],Unknown,0.0,,0.0,0.0
tehran3054,"Apr 16, 2021",قربانی متلک جنسی مترو تهران تعریف می‌کنه: ساعت ۱۰ پیش از ظهر بودم که ناگهان مرد... حتی روشنای روز هم جلوی آزار رو نمی‌گیره. فضای عمومی باید برای همه امن باشه.,,women349,2021-04-16,2021,4,16,0,4,Friday,Spring,2021-04,Iran,10.0,Afternoon,['Tehran'],['Metro/Bus'],Transport,['Verbal Harassment'],['Neutral'],False,First-person (Victim),,Unknown,0.0,,0.0,0.0
sara4660,"Jun 01, 2017",دیروز صبح پارک مشهد مورد دنبال کردن قرار گرفتم. یک مرد ناشناس بدون هیچ ترس روزها هم آزار جنسی خیلی زیاده. تا کی باید تحمل کنیم؟,"پارک_ناامن,مشهد",light196,2017-06-01,2017,6,1,0,3,Thursday,Summer,2017-06,Iran,,Morning,['Mashhad'],['Park'],Public,['Unclassified'],['Fear'],False,Public Opinion/Reshare,,Female,0.9,,0.0,0.0
nazi128,"Mar 17, 2025",بعدازظهر دانشگاه آزاد قزوین خیره شدن جنسی رو تجربه کردم. آبرو نمی‌کنم، حقیقم رو می‌خوام. در ساعات روز هم این اتفاق‌ها میفته.,,,2025-03-17,2025,3,17,0,0,Monday,Spring,2025-03,Iran,,Afternoon,"['Qom', 'Qazvin']",['University'],Organizational,['Institutional Harassment'],['Neutral'],False,Public Opinion/Reshare,,Unknown,0.0,,0.0,0.0
persian.women,"Apr 28, 2024",باز هم خبر نگاه خیره جنسی! این بار شب در کلانتری اصفهان. قربانی دختر بوده. شب وقت بیشترین گزارش‌های آزار جنسی هست. تا کی محیط کاری ناامن باشه؟ https://t.co/4014d53,,,2024-04-28,2024,4,28,0,6,Sunday,Spring,2024-04,Iran,,Night,['Isfahan'],['Prison'],Organizational,['Unclassified'],['Fear'],False,News/Report,,Female,0.9,,0.0,0.0
amir8089,"Oct 12, 2019",خبر: مرد ناشناس به اتهام آزار جنسی فیزیکی کودک در سالن ورزشی شهر گرگان بازداشت شد. ماجرا صبح اتفاق افتاده. حتی در فضاهای نیمه‌عمومی امنیت نیست.,آزار_جنسی,obs8821,2019-10-12,2019,10,12,0,5,Saturday,Fall,2019-10,Iran,,Morning,['Gorgan'],['Prison'],Organizational,['Unclassified'],['Neutral'],False,News/Report,,Male,0.9,Neutral/Unclassified,0.0,0.0
ahmad359,"Mar 22, 2023",قربانی تماس فیزیکی ناخواسته شرکت قم تعریف می‌کنه: ساعت ۱۰ پیش از ظهر بودم که ناگهان همکار... حتی روشنای روز هم جلوی آزار رو نمی‌گیره. محیط سازمانی باید امن‌تر بشه.,,obs284,2023-03-22,2023,3,22,0,2,Wednesday,Spring,2023-03,Iran,10.0,Afternoon,['Qom'],['Workplace'],Organizational,"['Physical Harassment', 'Institutional Harassment']",['Neutral'],False,Public Opinion/Reshare,,Unknown,0.0,,0.0,0.0
oshaghalhosein,"Mar 14, 2025",@RashidpourReza دخترت رو نمیتونی پایبند به قانون کشورش کتی حدود ساعت ۱۵، مجبوری یگی که قانون رو به سمتش کج کنند.دختران ایران مثل یه ایرانی لباس میپوشن.نه مثل اروپاییا و آمریکاییا که آمار تجاوز و بی بندو باری و ناهنجاری و حرامزادگی و هزار جور کثافت دیگشون زده بالا.به دخترت یاد بده که حجاب؛ یه جور حفاظه.,,RashidpourReza,2025-03-14,2025,3,14,0,4,Friday,Spring,2025-03,Mixed,15.0,,,['Prison'],Organizational,['Sexual Assault/Rape'],['Neutral'],False,Public Opinion/Reshare,['Law Reform'],Female,0.7,,0.0,0.0
right888,"Sep 10, 2025",باز هم خبر خیره شدن جنسی! این بار ساعت ۲۱ شب منزل مشهد. قربانی کودک بوده. شب‌ها امنیت برای زنان خیلی کمتره. تا کی فضای خانگی ناامن باشه؟,آزار_کودکان,,2025-09-10,2025,9,10,0,2,Wednesday,Fall,2025-09,Iran,21.0,Night,['Mashhad'],['Home'],Private,['Domestic/Family Harassment'],['Fear'],False,First-person (Victim),,Unknown,0.0,,0.0,0.0
mohsen_mehdi,"Apr 08, 2021",روایتی از سوت زدن و متلک در رشت: ساعت ۱۹ شب‌غروب پارک لاله رشت کودکی مورد آزار قرار گرفت. در تاریکی شب آزارگران جرأت بیشتری دارن. متهم هنوز دستگیر نشده. https://t.co/3046168,آزار_کودکان,,2021-04-08,2021,4,8,0,3,Thursday,Spring,2021-04,Iran,19.0,Night,['Rasht'],['Park'],Public,['Verbal Harassment'],['Neutral'],False,Public Opinion/Reshare,,Male,0.9,Neutral/Unclassified,0.0,0.0
parvin855,"Oct 28, 2018",بازداشت متهم آزار جنسی کلامی در کرمانشاه. حادثه شب‌غروب حدود ساعت ۱۹ در پیاده‌رو شهر کرمانشاه رخ داده. قربانی زن شاغل گزارش داده. مکان‌های عمومی شهر ناامن هستند. https://t.co/2275c54,کرمانشاه,,2018-10-28,2018,10,28,0,6,Sunday,Fall,2018-10,Iran,19.0,Night,"['Kermanshah', 'Kerman']",['Prison'],Organizational,['Unclassified'],['Fear'],False,News/Report,,Female,0.7,,0.0,0.0
mehdi598,"Oct 08, 2021",منابع امنیتی: ساعت ۸ صبح در مترو شهر تهران زن شاغلی مورد متلک جنسی قرار گرفته. متهم دستگیر شده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,"آزار_کلامی,زن_زندگی_آزادی,مترو_ناامن","hasan223,hossein721",2021-10-08,2021,10,8,0,4,Friday,Fall,2021-10,Iran,8.0,Morning,['Tehran'],['Metro/Bus'],Transport,['Verbal Harassment'],['Neutral'],False,News/Report,,Male,0.9,Neutral/Unclassified,0.0,0.0
mashhad197,"Feb 17, 2021",پیش از ظهر حدود ساعت ۱۰ خیابان اهواز متلک جنسی رو تجربه کردم. من یه زن عادی بودم که فقط می‌خواستم برم سر کارم. روزها هم آزار جنسی خیلی زیاده.,زن_زندگی_آزادی,,2021-02-17,2021,2,17,0,2,Wednesday,Winter,2021-02,Iran,10.0,Afternoon,['Ahvaz'],['Street'],Public,['Verbal Harassment'],['Neutral'],False,First-person (Victim),,Female,0.7,,0.0,0.0
light626,"Apr 01, 2022",کسی دیگه هم صبح حدود ساعت ۸ در خیابان زاهدان سوت زدن و متلک رو تجربه کرده؟ دخترها حتی روشنای روز هم جلوی آزار رو نمی‌گیره. فضای عمومی باید جدی‌تر گرفته بشه.,خیابان_ناامن,,2022-04-01,2022,4,1,0,4,Friday,Spring,2022-04,Iran,8.0,Morning,['Zahedan'],['Street'],Public,['Verbal Harassment'],['Neutral'],False,Public Opinion/Reshare,,Female,0.7,,0.0,0.0
free845,"Jul 21, 2019",واقعاً خسته شدم. پیش از ظهر در شرکت مشهد دوبار آزار جنسی کلامی شدم. در ساعات روز هم این اتفاق‌ها میفته. محیط سازمانی باید امن‌تر بشه.,,,2019-07-21,2019,7,21,0,6,Sunday,Summer,2019-07,Iran,,Afternoon,['Mashhad'],['Workplace'],Organizational,['Unclassified'],['Neutral'],False,First-person (Victim),,Unknown,0.0,,0.0,0.0
ali589,"Jul 04, 2023",منابع امنیتی: ساعت ۱۰ پیش از ظهر خیابان حافظ کرمان کودکی مورد تفقی قرار گرفته. متهم دستگیر شده. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته.,آزار_کودکان,report_ahmad,2023-07-04,2023,7,4,0,1,Tuesday,Summer,2023-07,Iran,10.0,Afternoon,['Kerman'],['Street'],Public,['Unclassified'],['Neutral'],False,News/Report,,Male,0.9,Neutral/Unclassified,0.0,0.0
narges2613,"Jul 17, 2016",هر روز ترس بیشتر. ظهر در مسجد شهر تهران آزار جنسی کلامی شدم. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. فضای عمومی باید برای همه امن باشه.,,,2016-07-17,2016,7,17,0,6,Sunday,Summer,2016-07,Iran,,Afternoon,['Tehran'],,Unknown,['Unclassified'],['Fear'],False,First-person (Victim),,Female,0.9,,0.0,0.0
life_reza,"Apr 17, 2016",منابع امنیتی: ساعت ۸ صبح اتوبوس شیراز زن جوانی مورد نزدیک شدن ناخواسته قرار گرفته. متهم دستگیر شده. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. https://t.co/36ac447,,,2016-04-17,2016,4,17,0,6,Sunday,Spring,2016-04,Iran,8.0,Morning,['Shiraz'],['Metro/Bus'],Transport,['Physical Harassment'],['Neutral'],False,News/Report,,Male,0.9,Neutral/Unclassified,0.0,0.0
hamid2363,"Sep 03, 2019",ادعانامه علیه کارمند دانشگاه که ساعت ۱۵ بعدازظهر دانشگاه شیراز مرتکب آزار جنسی فیزیکی شده صادر شد. قربانی کودک بوده. محیط سازمانی باید امن‌تر بشه.,شیراز,,2019-09-03,2019,9,3,0,1,Tuesday,Fall,2019-09,Iran,15.0,Afternoon,['Shiraz'],['University'],Organizational,['Institutional Harassment'],['Neutral'],False,Public Opinion/Reshare,,Male,0.9,Neutral/Unclassified,0.0,0.0
persian8763,"Aug 05, 2026",هر روز ترس بیشتر. شب در آپارتمان رشت آزار جنسی کلامی شدم. ساعات شب خطر آزار جنسی بالاتره. آزار در فضای خانگی هم وجود داره.,حقوق_زنان,"mohsen578,watch213",2026-08-05,2026,8,5,0,2,Wednesday,Summer,2026-08,Iran,,Night,['Rasht'],['Home'],Private,['Domestic/Family Harassment'],['Fear'],False,First-person (Victim),,Unknown,0.0,,0.0,0.0
Karimimajdroya,"Dec 25, 2025",سند ملی سلامت زنان در ایران، سلامت را در چارچوب «سبک زندگی اسلامی–ایرانی» و اولویت فرزندآوری تعریف می‌کند؛ رویکردی که با استانداردهای بین‌المللی حقوق زنان درباره خودمختاری بدنی، سلامت جنسی و حق انتخاب آزادانه همخوانی ندارد. در این سند، سلامت جنسی به «زیست عفیفانه» محدود شده است؛,,,2025-12-25,2025,12,25,0,3,Thursday,Winter,2025-12,Iran,,,,['University'],Organizational,['Unclassified'],['Neutral'],False,First-person (Victim),,Female,0.5,,0.0,0.0
life.fatemeh,"May 10, 2018",هر روز ترس بیشتر. نیمه‌شب حدود ساعت ۲۳ خیابان امامت مشهد سوت زدن و متلک شدم. شب‌ها امنیت برای زنان خیلی کمتره. فضای عمومی باید برای همه امن باشه.,,,2018-05-10,2018,5,10,0,3,Thursday,Spring,2018-05,Iran,23.0,Night,['Mashhad'],['Street'],Public,['Verbal Harassment'],['Fear'],False,First-person (Victim),,Female,0.9,,0.0,0.0
right.life,"Dec 15, 2026",تا کی باید محیط کاری نگران امنیت باشیم؟ آخرین مورد: صبح در دانشگاه قزوین زنی تجاوز جنسی شده. در ساعات روز هم این اتفاق‌ها میفته.,,,2026-12-15,2026,12,15,0,1,Tuesday,Winter,2026-12,Iran,,Morning,['Qazvin'],['University'],Organizational,"['Sexual Assault/Rape', 'Institutional Harassment']",['Neutral'],False,Public Opinion/Reshare,,Female,0.7,,0.0,0.0
S_Hindokosh,"Dec 27, 2025",رسانه‌های بین‌المللی گزارش داده‌اند که کریم خان، څارنوال ارشد محکمۀ جزایی بین‌المللی (ICC) حدود ساعت ۱۰ در قم، در پیوند به یک قضیۀ آزار و اذیت جنسی تحت نظارت قرار دارد.,,,2025-12-27,2025,12,27,0,5,Saturday,Winter,2025-12,Iran,10.0,,['Qom'],,Unknown,['Unclassified'],['Neutral'],False,News/Report,['Security/CCTV'],Unknown,0.0,,0.0,0.0
student741,"Oct 13, 2023",پلیس از بازداشت متهم نزدیک شدن ناخواسته دختر خبر داد. حادثه صبح واگن مترو تهران رخ داده. در ساعات روز هم این اتفاق‌ها میفته.,,,2023-10-13,2023,10,13,0,4,Friday,Fall,2023-10,Iran,,Morning,['Tehran'],"['Metro/Bus', 'Prison']",Transport,['Physical Harassment'],['Neutral'],False,News/Report,['Security/CCTV'],Female,0.7,,0.0,0.0
fatemeh955,"Nov 27, 2023",تا کی باید محیط کاری نگران امنیت باشیم؟ آخرین مورد: صبح اداره پلیس تهران دختر جوانی آزار جنسی فیزیکی شده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,آزار_جنسی,,2023-11-27,2023,11,27,0,0,Monday,Fall,2023-11,Iran,,Morning,['Tehran'],['Workplace'],Organizational,['Unclassified'],['Neutral'],False,Public Opinion/Reshare,['Security/CCTV'],Female,0.9,,0.0,0.0
RdaNzam75895,"Sep 02, 2022",@amir_Fey به گربه تجاوز جنسی میکنه در سمنان,,amir_Fey,2022-09-02,2022,9,2,0,4,Friday,Fall,2022-09,Iran,,,,,Unknown,['Sexual Assault/Rape'],['Neutral'],False,Public Opinion/Reshare,,Unknown,0.0,,0.0,0.0
hossein1510,"Mar 25, 2025",کسی دیگه هم صبح حدود ساعت ۸ در رختکن استخر لرستان آزار در برابر جنسی رو تجربه کرده؟ زن جوانها روزها هم آزار جنسی خیلی زیاده. مکان نیمه‌عمومی باید جدی‌تر گرفته بشه.,,"women237,saeed959",2025-03-25,2025,3,25,0,1,Tuesday,Spring,2025-03,Iran,8.0,Morning,['Lorestan'],,Unknown,['Unclassified'],['Neutral'],False,Public Opinion/Reshare,,Female,0.7,,0.0,0.0
fatemeh245,"Apr 05, 2023",روایتی از تهدید جنسی در بوشهر: ساعت ۱۹ شب‌غروب در باشگاه شهر بوشهر دختری مورد آزار قرار گرفت. شب وقت بیشترین گزارش‌های آزار جنسی هست. متهم هنوز دستگیر نشده.,,,2023-04-05,2023,4,5,0,2,Wednesday,Spring,2023-04,Iran,19.0,Night,['Bushehr'],,Unknown,['Unclassified'],['Neutral'],False,News/Report,,Female,0.9,,0.0,0.0
hope_right,"Jun 06, 2020",حکم محکومیت مهاجم به جرم اظهارنظر جنسی زن صادر شد. حادثه ساعت ۱۷ عصر در خیابان ولیعصر بیرجند رخ داده. فضای عمومی باید برای همه امن باشه. https://t.co/3bcbbd9,,,2020-06-06,2020,6,6,0,5,Saturday,Summer,2020-06,Iran,17.0,Evening,,['Street'],Public,['Verbal Harassment'],['Neutral'],False,First-person (Victim),,Female,0.7,,0.0,0.0
narges9386,"Jun 05, 2018",پلیس از بازداشت متهم آزار جنسی کلامی دختر خبر داد. حادثه عصر در خیابان جمهوری شهر یزد رخ داده. غروب وقت گذار بین امنیت روز و ناامنی شب. https://t.co/543465d,خیابان_ناامن,,2018-06-05,2018,6,5,0,1,Tuesday,Summer,2018-06,Iran,,Evening,['Yazd'],"['Street', 'Prison']",Public,['Unclassified'],['Fear'],False,News/Report,['Security/CCTV'],Female,0.9,,0.0,0.0
women_hope,"Sep 04, 2026",نمیدونم چی بگم. صبح در پارک ساعی شهر تبریز گروهی از مردان بهم عکسبرداری ناخواسته کرد. در اماکن عمومی هیچ نظارتی نیست. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,,2026-09-04,2026,9,4,0,4,Friday,Fall,2026-09,Iran,,Morning,['Tabriz'],['Park'],Public,['Unclassified'],['Neutral'],False,Public Opinion/Reshare,['Security/CCTV'],Female,0.9,,0.0,0.0
nazi852,"Mar 26, 2020",ساعت ۸ صبح در تاکسی اهواز دنبال کردن رو تجربه کردم. چرا باید سکوت کنم؟. روزها هم آزار جنسی خیلی زیاده.,حقوق_زنان,,2020-03-26,2020,3,26,0,3,Thursday,Spring,2020-03,Iran,8.0,Morning,['Ahvaz'],['Taxi'],Transport,['Unclassified'],['Neutral'],False,Public Opinion/Reshare,,Unknown,0.0,,0.0,0.0
report_reza,"Sep 18, 2018",ادعانامه علیه همکار مرد که پیش از ظهر در محل کار شهر رشت مرتکب آزار جنسی کلامی شده صادر شد. قربانی دختر بوده. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,آزار_محل_کار,,2018-09-18,2018,9,18,0,1,Tuesday,Fall,2018-09,Iran,,Afternoon,['Rasht'],['Workplace'],Organizational,['Institutional Harassment'],['Neutral'],False,Public Opinion/Reshare,,Male,0.9,Justification,0.0,0.0
farhi763,"Sep 20, 2025",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: شب در لابی سینما زاهدان پسری متلک جنسی شده. در تاریکی شب آزارگران جرأت بیشتری دارن.,,,2025-09-20,2025,9,20,0,5,Saturday,Fall,2025-09,Iran,,Night,['Zahedan'],,Unknown,['Verbal Harassment'],['Neutral'],False,Public Opinion/Reshare,,Male,0.7,Neutral/Unclassified,0.0,0.0
ali_mashhad,"Mar 20, 2026",ادعانامه علیه مسئول زندان که نیمه‌شب زندان اصفهان مرتکب آزار جنسی فیزیکی شده صادر شد. قربانی کودک بوده. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,آزار_کودکان,,2026-03-20,2026,3,20,0,4,Friday,Spring,2026-03,Iran,,Night,['Isfahan'],"['Workplace', 'Prison']",Organizational,['Institutional Harassment'],['Neutral'],False,Public Opinion/Reshare,,Male,0.9,Justification,0.0,0.0
farhi988,"Mar 06, 2016",منابع امنیتی: ساعت ۸ صبح در اتوبوس شهری شهر رشت دختری مورد خیره شدن جنسی قرار گرفته. متهم دستگیر شده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,,2016-03-06,2016,3,6,0,6,Sunday,Spring,2016-03,Iran,8.0,Morning,['Rasht'],['Metro/Bus'],Transport,['Unclassified'],['Neutral'],False,News/Report,,Female,0.7,,0.0,0.0
gh_daryabari,"Jun 08, 2025",اکثریت مردم ایران از متجاوز بیزارن چه یکی از خودشون باشه چه یک سفیدپوست امریکایی یا یک افغانستانی در همه جای دنیا به زنان و کودکان تجاوز میشه در آمریکا از هر ۶ زن یک نفر تجربه آزار جنسی داره متاسفانه کل دنیا این مشکل هست اما قانون اونجا حامی قربانیه پس باید یقه حکومت فشل رو گرفت در خیابان ولیعصر,,,2025-06-08,2025,6,8,0,6,Sunday,Summer,2025-06,Mixed,,Evening,,['Street'],Public,['Sexual Assault/Rape'],['Sadness'],False,Public Opinion/Reshare,['Law Reform'],Female,0.7,,0.05,0.05
obs1462,"Dec 16, 2026",منابع امنیتی: ظهر حدود ساعت ۱۲ ایستگاه اتوبوس یزد زنی مورد تماس فیزیکی ناخواسته قرار گرفته. متهم دستگیر شده. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته.,,,2026-12-16,2026,12,16,0,2,Wednesday,Winter,2026-12,Iran,12.0,Afternoon,['Yazd'],['Metro/Bus'],Transport,['Physical Harassment'],['Neutral'],False,News/Report,,Female,0.7,,0.0,0.0
