Username,Date,Tweet Text,Hashtags,Mentions,Date_parsed,Year,Month,Day,Hour,DayOfWeek,WeekDayName,Season,YearMonth,Iran_Relevance
shirin6987,"Jul 15, 2021",پلیس از بازداشت متهم آزار جنسی کلامی زن خبر داد. حادثه ساعت ۲۱ شب تاکسی کرج رخ داده. بعد از غروب آفتاب امنیت زنان کاهش می‌یابه.,آزار_جنسی,"girl33,farsi314",2021-07-15,2021,7,15,0,3,Thursday,Summer,2021-07,Iran
light565,"Aug 27, 2025",کسی دیگه هم ساعت ۱۵ بعدازظهر در مترو کابل دنبال کردن رو تجربه کرده؟ کودکها روزها هم آزار جنسی خیلی زیاده. فضای عمومی باید جدی‌تر گرفته بشه.,آزار_جنسی,zahra9326,2025-08-27,2025,8,27,0,2,Wednesday,Summer,2025-08,Ambiguous
mehrkhane,"Dec 30, 2017",#زهرا_آيت‌اللهي؛ رييس #شوراي_فرهنگي_اجتماعي_زنان_و_خانواده: با تصويب قانوني که مانع #خشونت_عليه_زنان شود مخالف... عصر در وین در پارک مهرگان,"زهرا_آيت,شوراي_فرهنگي_اجتماعي_زنان_و_خانواده,خشونت_عليه_زنان",,2017-12-30,2017,12,30,0,5,Saturday,Winter,2017-12,Ambiguous
farhi3073,"May 20, 2023",آمار تهدید جنسی در مشهد نگران‌کننده است. آخرین مورد شب‌غروب خیابان حافظ مشهد رخ داده. بعد از غروب آفتاب امنیت زنان کاهش می‌یابه.,امنیت_زنان,,2023-05-20,2023,5,20,0,5,Saturday,Spring,2023-05,Iran
AsadSadeghpoor,"Jan 06, 2022",“بعد از ۳سال، هنوز مسائل حل‌نشده‌ٔ بسیاری در راستای احقاق حقوق زنان در جمهوری اسلامی ایران باقی مانده و کارهای بسیاری باید برای بهبود وضعیت انجام شود. در گزارش امسالم به شورای حقوق‌بشر سازمان ملل اشاره کردم، زنان کماکان در.” #زن_مقاومت_آزادی #خبر_فوریhttps://t.co/GH7u1cpFGY شب‌غروب,"زن_مقاومت_آزادی,خبر_فوریhttps",,2022-01-06,2022,1,6,0,3,Thursday,Winter,2022-01,Iran
saeed377,"May 22, 2026",بازداشت متهم تجاوز جنسی در آتن. حادثه ساعت ۱۹ شب‌غروب پارک ساعی آتن رخ داده. قربانی زن گزارش داده. مکان‌های عمومی شهر ناامن هستند.,,,2026-05-22,2026,5,22,0,4,Friday,Spring,2026-05,Ambiguous
tehran3054,"Apr 16, 2021",قربانی متلک جنسی مترو تهران تعریف می‌کنه: ساعت ۱۰ پیش از ظهر بودم که ناگهان مرد... حتی روشنای روز هم جلوی آزار رو نمی‌گیره. فضای عمومی باید برای همه امن باشه.,,women349,2021-04-16,2021,4,16,0,4,Friday,Spring,2021-04,Iran
free328,"Mar 04, 2025",واقعاً متاسفم. بعدازظهر حدود ساعت ۱۵ در در اتوبوس شهر یاسوج آزار جنسی فیزیکی اتفاق افتاد و قربانی زن بود. در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید برای همه امن باشه.,,,2025-03-04,2025,3,4,0,1,Tuesday,Spring,2025-03,Ambiguous
sara4660,"Jun 01, 2017",دیروز صبح پارک مشهد مورد دنبال کردن قرار گرفتم. یک مرد ناشناس بدون هیچ ترس روزها هم آزار جنسی خیلی زیاده. تا کی باید تحمل کنیم؟,"پارک_ناامن,مشهد",light196,2017-06-01,2017,6,1,0,3,Thursday,Summer,2017-06,Iran
nazi128,"Mar 17, 2025",بعدازظهر دانشگاه آزاد قزوین خیره شدن جنسی رو تجربه کردم. آبرو نمی‌کنم، حقیقم رو می‌خوام. در ساعات روز هم این اتفاق‌ها میفته.,,,2025-03-17,2025,3,17,0,0,Monday,Spring,2025-03,Iran
persian.women,"Apr 28, 2024",باز هم خبر نگاه خیره جنسی! این بار شب در کلانتری اصفهان. قربانی دختر بوده. شب وقت بیشترین گزارش‌های آزار جنسی هست. تا کی محیط کاری ناامن باشه؟ https://t.co/4014d53,,,2024-04-28,2024,4,28,0,6,Sunday,Spring,2024-04,Iran
amir8089,"Oct 12, 2019",خبر: مرد ناشناس به اتهام آزار جنسی فیزیکی کودک در سالن ورزشی شهر گرگان بازداشت شد. ماجرا صبح اتفاق افتاده. حتی در فضاهای نیمه‌عمومی امنیت نیست.,آزار_جنسی,obs8821,2019-10-12,2019,10,12,0,5,Saturday,Fall,2019-10,Iran
ahmad359,"Mar 22, 2023",قربانی تماس فیزیکی ناخواسته شرکت قم تعریف می‌کنه: ساعت ۱۰ پیش از ظهر بودم که ناگهان همکار... حتی روشنای روز هم جلوی آزار رو نمی‌گیره. محیط سازمانی باید امن‌تر بشه.,,obs284,2023-03-22,2023,3,22,0,2,Wednesday,Spring,2023-03,Iran
oshaghalhosein,"Mar 14, 2025",@RashidpourReza دخترت رو نمیتونی پایبند به قانون کشورش کتی حدود ساعت ۱۵، مجبوری یگی که قانون رو به سمتش کج کنند.دختران ایران مثل یه ایرانی لباس میپوشن.نه مثل اروپاییا و آمریکاییا که آمار تجاوز و بی بندو باری و ناهنجاری و حرامزادگی و هزار جور کثافت دیگشون زده بالا.به دخترت یاد بده که حجاب؛ یه جور حفاظه.,,RashidpourReza,2025-03-14,2025,3,14,0,4,Friday,Spring,2025-03,Mixed
right888,"Sep 10, 2025",باز هم خبر خیره شدن جنسی! این بار ساعت ۲۱ شب منزل مشهد. قربانی کودک بوده. شب‌ها امنیت برای زنان خیلی کمتره. تا کی فضای خانگی ناامن باشه؟,آزار_کودکان,,2025-09-10,2025,9,10,0,2,Wednesday,Fall,2025-09,Iran
justice888,"Feb 01, 2017",شاهد حادثه تماس فیزیکی ناخواسته در ایستگاه مترو لندن بودم. ساعت ۱۲ ظهر دانشجوی کمک می‌خواست ولی... روزها هم آزار جنسی خیلی زیاده. فضای عمومی باید تغییر کنه.,آزار_جنسی,,2017-02-01,2017,2,1,0,2,Wednesday,Winter,2017-02,Ambiguous
mohsen_mehdi,"Apr 08, 2021",روایتی از سوت زدن و متلک در رشت: ساعت ۱۹ شب‌غروب پارک لاله رشت کودکی مورد آزار قرار گرفت. در تاریکی شب آزارگران جرأت بیشتری دارن. متهم هنوز دستگیر نشده. https://t.co/3046168,آزار_کودکان,,2021-04-08,2021,4,8,0,3,Thursday,Spring,2021-04,Iran
mashhad408,"Nov 19, 2020",روایتی از آزار جنسی کلامی در برلین: شب در تاکسی برلین زنی مورد آزار قرار گرفت. بعد از غروب آفتاب امنیت زنان کاهش می‌یابه. متهم هنوز دستگیر نشده.,"آزار_جنسی,زن_زندگی_آزادی",,2020-11-19,2020,11,19,0,3,Thursday,Fall,2020-11,Ambiguous
parvin855,"Oct 28, 2018",بازداشت متهم آزار جنسی کلامی در کرمانشاه. حادثه شب‌غروب حدود ساعت ۱۹ در پیاده‌رو شهر کرمانشاه رخ داده. قربانی زن شاغل گزارش داده. مکان‌های عمومی شهر ناامن هستند. https://t.co/2275c54,کرمانشاه,,2018-10-28,2018,10,28,0,6,Sunday,Fall,2018-10,Iran
saleihishir,"Nov 05, 2025",ک پناهجوی افغان که یک سال پیش از ترس طالبان به بریتانیا گریخت، به اتهام آزار جنسی یک دختر ۱۴ ساله به دادگاه احضار شد. گل احمد اوریاخیل ۲۱ متهم است که در نزدیکی یک پارک، دستانش را به زور زیر سینه‌بند و بین پاهای این دانش‌آموز قرار داده است. https://t.co/nF3smhgFgr,,,2025-11-05,2025,11,5,0,2,Wednesday,Fall,2025-11,Ambiguous
mehdi598,"Oct 08, 2021",منابع امنیتی: ساعت ۸ صبح در مترو شهر تهران زن شاغلی مورد متلک جنسی قرار گرفته. متهم دستگیر شده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,"آزار_کلامی,زن_زندگی_آزادی,مترو_ناامن","hasan223,hossein721",2021-10-08,2021,10,8,0,4,Friday,Fall,2021-10,Iran
mashhad197,"Feb 17, 2021",پیش از ظهر حدود ساعت ۱۰ خیابان اهواز متلک جنسی رو تجربه کردم. من یه زن عادی بودم که فقط می‌خواستم برم سر کارم. روزها هم آزار جنسی خیلی زیاده.,زن_زندگی_آزادی,,2021-02-17,2021,2,17,0,2,Wednesday,Winter,2021-02,Iran
light626,"Apr 01, 2022",کسی دیگه هم صبح حدود ساعت ۸ در خیابان زاهدان سوت زدن و متلک رو تجربه کرده؟ دخترها حتی روشنای روز هم جلوی آزار رو نمی‌گیره. فضای عمومی باید جدی‌تر گرفته بشه.,خیابان_ناامن,,2022-04-01,2022,4,1,0,4,Friday,Spring,2022-04,Iran
free845,"Jul 21, 2019",واقعاً خسته شدم. پیش از ظهر در شرکت مشهد دوبار آزار جنسی کلامی شدم. در ساعات روز هم این اتفاق‌ها میفته. محیط سازمانی باید امن‌تر بشه.,,,2019-07-21,2019,7,21,0,6,Sunday,Summer,2019-07,Iran
grok,"Feb 01, 2022",@KhujyB15150 @FarbodExplorer @2EXPvZWQ7LLPX4P تحلیل من بر اساس منابع متنوع (مانند EEOC، UN Women و مقالات حقوقی) بود که آزار جنسی را رفتار ناخواسته جنسی تعریف می‌کنند، اما نیاز به قصد و تأثیر مستقیم دارد. ویدیو نشان‌دهنده رفتار تکراری است که ممکن است تیکس یا عادت باشد، نه لزوماً جنسی. اگر باعث ناراحتی شده، گزارش دهید. من با,,"KhujyB15150,FarbodExplorer,2EXPvZWQ7LLPX4P",2022-02-01,2022,2,1,0,1,Tuesday,Winter,2022-02,Foreign
ali589,"Jul 04, 2023",منابع امنیتی: ساعت ۱۰ پیش از ظهر خیابان حافظ کرمان کودکی مورد تفقی قرار گرفته. متهم دستگیر شده. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته.,آزار_کودکان,report_ahmad,2023-07-04,2023,7,4,0,1,Tuesday,Summer,2023-07,Iran
narges2613,"Jul 17, 2016",هر روز ترس بیشتر. ظهر در مسجد شهر تهران آزار جنسی کلامی شدم. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. فضای عمومی باید برای همه امن باشه.,,,2016-07-17,2016,7,17,0,6,Sunday,Summer,2016-07,Iran
1TANKHUNTER,"Dec 31, 2020","""نه به خشونت علیه زنان"" حدود ساعت ۸",,,2020-12-31,2020,12,31,0,3,Thursday,Winter,2020-12,Ambiguous
life_reza,"Apr 17, 2016",منابع امنیتی: ساعت ۸ صبح اتوبوس شیراز زن جوانی مورد نزدیک شدن ناخواسته قرار گرفته. متهم دستگیر شده. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته. https://t.co/36ac447,,,2016-04-17,2016,4,17,0,6,Sunday,Spring,2016-04,Iran
hamid2363,"Sep 03, 2019",ادعانامه علیه کارمند دانشگاه که ساعت ۱۵ بعدازظهر دانشگاه شیراز مرتکب آزار جنسی فیزیکی شده صادر شد. قربانی کودک بوده. محیط سازمانی باید امن‌تر بشه.,شیراز,,2019-09-03,2019,9,3,0,1,Tuesday,Fall,2019-09,Iran
persian8763,"Aug 05, 2026",هر روز ترس بیشتر. شب در آپارتمان رشت آزار جنسی کلامی شدم. ساعات شب خطر آزار جنسی بالاتره. آزار در فضای خانگی هم وجود داره.,حقوق_زنان,"mohsen578,watch213",2026-08-05,2026,8,5,0,2,Wednesday,Summer,2026-08,Iran
Karimimajdroya,"Dec 25, 2025",سند ملی سلامت زنان در ایران، سلامت را در چارچوب «سبک زندگی اسلامی–ایرانی» و اولویت فرزندآوری تعریف می‌کند؛ رویکردی که با استانداردهای بین‌المللی حقوق زنان درباره خودمختاری بدنی، سلامت جنسی و حق انتخاب آزادانه همخوانی ندارد. در این سند، سلامت جنسی به «زیست عفیفانه» محدود شده است؛,,,2025-12-25,2025,12,25,0,3,Thursday,Winter,2025-12,Iran
AdrianBahmani,"Sep 15, 2025",@Meysame_tamaarr این استدلال شما، توهینی همزمان به «زن» و «مرد» است. به زن، چون او را مسئولِ جنایتی می‌دانید که علیهِ او رخ داده. و به مرد، چون او را موجودی غریزی و فاقد اراده و شرف به تصویر می‌کشید که با دیدنِ هر چیزی، کنترلش را از دست می‌دهد در منزل. این نگاه، نه از سرِ دلسوزی برای قانون، که از عمقِ یک,,Meysame_tamaarr,2025-09-15,2025,9,15,0,0,Monday,Fall,2025-09,Ambiguous
life.fatemeh,"May 10, 2018",هر روز ترس بیشتر. نیمه‌شب حدود ساعت ۲۳ خیابان امامت مشهد سوت زدن و متلک شدم. شب‌ها امنیت برای زنان خیلی کمتره. فضای عمومی باید برای همه امن باشه.,,,2018-05-10,2018,5,10,0,3,Thursday,Spring,2018-05,Iran
right.life,"Dec 15, 2026",تا کی باید محیط کاری نگران امنیت باشیم؟ آخرین مورد: صبح در دانشگاه قزوین زنی تجاوز جنسی شده. در ساعات روز هم این اتفاق‌ها میفته.,,,2026-12-15,2026,12,15,0,1,Tuesday,Winter,2026-12,Iran
S_Hindokosh,"Dec 27, 2025",رسانه‌های بین‌المللی گزارش داده‌اند که کریم خان، څارنوال ارشد محکمۀ جزایی بین‌المللی (ICC) حدود ساعت ۱۰ در قم، در پیوند به یک قضیۀ آزار و اذیت جنسی تحت نظارت قرار دارد.,,,2025-12-27,2025,12,27,0,5,Saturday,Winter,2025-12,Iran
student741,"Oct 13, 2023",پلیس از بازداشت متهم نزدیک شدن ناخواسته دختر خبر داد. حادثه صبح واگن مترو تهران رخ داده. در ساعات روز هم این اتفاق‌ها میفته.,,,2023-10-13,2023,10,13,0,4,Friday,Fall,2023-10,Iran
pardis__rabiee,"Dec 29, 2021",واهمه به کارش ادامه میده و من و امثال من یا مجبوریم به سکوت کردن یا در جایگاه متهم قرار میگیریم و مورد سرزنش در شاهرود در ایستگاه اتوبوس. #آزار_جنسی_در_محل_کار,آزار_جنسی_در_محل_کار,,2021-12-29,2021,12,29,0,2,Wednesday,Winter,2021-12,Ambiguous
MIT182323,"Dec 27, 2025",اصلا این حرفی که می زنی هیچ سندی براش نداری و ی سوال خشونت علیه زنان در چه کشور هایی بیشتره ؟,,,2025-12-27,2025,12,27,0,5,Saturday,Winter,2025-12,Ambiguous
fatemeh955,"Nov 27, 2023",تا کی باید محیط کاری نگران امنیت باشیم؟ آخرین مورد: صبح اداره پلیس تهران دختر جوانی آزار جنسی فیزیکی شده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,آزار_جنسی,,2023-11-27,2023,11,27,0,0,Monday,Fall,2023-11,Iran
RdaNzam75895,"Sep 02, 2022",@amir_Fey به گربه تجاوز جنسی میکنه در سمنان,,amir_Fey,2022-09-02,2022,9,2,0,4,Friday,Fall,2022-09,Iran
Roya12328915,"Aug 04, 2022",این ادعای که میگید گفتمان فمنیست نیست. همه میتونن قربانی خشونت و ناهنجاری اجتماعی باشن .مبارزه با زن ستیزی و خشونت علیه زنان و فمنیست از این جهت وجود داره که خیلی از مصائب و خشونت و نابرابری های علیه زن به صرف زن بودن فرده و این نگرش هست که زن انسان نیست یا در مرتبه پایین تریه صبح,,,2022-08-04,2022,8,4,0,3,Thursday,Summer,2022-08,Ambiguous
Aryamehr498837,"Jan 29, 2022",گفتی آزار جنسی کودکان یاد سعید طوسی افتادم گفتی قاتل کوکان یاد خامنه ای افتادم چقدر حروم زاده ای امیر علی صفا,,,2022-01-29,2022,1,29,0,5,Saturday,Winter,2022-01,Ambiguous
hossein1510,"Mar 25, 2025",کسی دیگه هم صبح حدود ساعت ۸ در رختکن استخر لرستان آزار در برابر جنسی رو تجربه کرده؟ زن جوانها روزها هم آزار جنسی خیلی زیاده. مکان نیمه‌عمومی باید جدی‌تر گرفته بشه.,,"women237,saeed959",2025-03-25,2025,3,25,0,1,Tuesday,Spring,2025-03,Iran
fatemeh245,"Apr 05, 2023",روایتی از تهدید جنسی در بوشهر: ساعت ۱۹ شب‌غروب در باشگاه شهر بوشهر دختری مورد آزار قرار گرفت. شب وقت بیشترین گزارش‌های آزار جنسی هست. متهم هنوز دستگیر نشده.,,,2023-04-05,2023,4,5,0,2,Wednesday,Spring,2023-04,Iran
hope_right,"Jun 06, 2020",حکم محکومیت مهاجم به جرم اظهارنظر جنسی زن صادر شد. حادثه ساعت ۱۷ عصر در خیابان ولیعصر بیرجند رخ داده. فضای عمومی باید برای همه امن باشه. https://t.co/3bcbbd9,,,2020-06-06,2020,6,6,0,5,Saturday,Summer,2020-06,Iran
narges9386,"Jun 05, 2018",پلیس از بازداشت متهم آزار جنسی کلامی دختر خبر داد. حادثه عصر در خیابان جمهوری شهر یزد رخ داده. غروب وقت گذار بین امنیت روز و ناامنی شب. https://t.co/543465d,خیابان_ناامن,,2018-06-05,2018,6,5,0,1,Tuesday,Summer,2018-06,Iran
virtual_class,"Oct 31, 2022",میزان مزاحمت خیابانی ارتباط مستقیم داره با تربیت خانوادگی و آموزش دینی,,,2022-10-31,2022,10,31,0,0,Monday,Fall,2022-10,Ambiguous
women_hope,"Sep 04, 2026",نمیدونم چی بگم. صبح در پارک ساعی شهر تبریز گروهی از مردان بهم عکسبرداری ناخواسته کرد. در اماکن عمومی هیچ نظارتی نیست. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,,2026-09-04,2026,9,4,0,4,Friday,Fall,2026-09,Iran
tehran671,"Dec 06, 2023",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: ساعت ۱۹ شب‌غروب در پارک شاه‌گولی کلن آلمان دختری خیره شدن جنسی شده. در تاریکی شب آزارگران جرأت بیشتری دارن.,پارک_ناامن,,2023-12-06,2023,12,6,0,2,Wednesday,Winter,2023-12,Foreign
nazi852,"Mar 26, 2020",ساعت ۸ صبح در تاکسی اهواز دنبال کردن رو تجربه کردم. چرا باید سکوت کنم؟. روزها هم آزار جنسی خیلی زیاده.,حقوق_زنان,,2020-03-26,2020,3,26,0,3,Thursday,Spring,2020-03,Iran
report_reza,"Sep 18, 2018",ادعانامه علیه همکار مرد که پیش از ظهر در محل کار شهر رشت مرتکب آزار جنسی کلامی شده صادر شد. قربانی دختر بوده. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,آزار_محل_کار,,2018-09-18,2018,9,18,0,1,Tuesday,Fall,2018-09,Iran
farhi763,"Sep 20, 2025",تا کی باید فضای عمومی نگران امنیت باشیم؟ آخرین مورد: شب در لابی سینما زاهدان پسری متلک جنسی شده. در تاریکی شب آزارگران جرأت بیشتری دارن.,,,2025-09-20,2025,9,20,0,5,Saturday,Fall,2025-09,Iran
ali_mashhad,"Mar 20, 2026",ادعانامه علیه مسئول زندان که نیمه‌شب زندان اصفهان مرتکب آزار جنسی فیزیکی شده صادر شد. قربانی کودک بوده. در محل کار و تحصیل آزار جنسی نباید نادیده گرفته بشه.,آزار_کودکان,,2026-03-20,2026,3,20,0,4,Friday,Spring,2026-03,Iran
farhi988,"Mar 06, 2016",منابع امنیتی: ساعت ۸ صبح در اتوبوس شهری شهر رشت دختری مورد خیره شدن جنسی قرار گرفته. متهم دستگیر شده. حتی روشنای روز هم جلوی آزار رو نمی‌گیره.,,,2016-03-06,2016,3,6,0,6,Sunday,Spring,2016-03,Iran
gh_daryabari,"Jun 08, 2025",اکثریت مردم ایران از متجاوز بیزارن چه یکی از خودشون باشه چه یک سفیدپوست امریکایی یا یک افغانستانی در همه جای دنیا به زنان و کودکان تجاوز میشه در آمریکا از هر ۶ زن یک نفر تجربه آزار جنسی داره متاسفانه کل دنیا این مشکل هست اما قانون اونجا حامی قربانیه پس باید یقه حکومت فشل رو گرفت در خیابان ولیعصر,,,2025-06-08,2025,6,8,0,6,Sunday,Summer,2025-06,Mixed
obs1462,"Dec 16, 2026",منابع امنیتی: ظهر حدود ساعت ۱۲ ایستگاه اتوبوس یزد زنی مورد تماس فیزیکی ناخواسته قرار گرفته. متهم دستگیر شده. فکر نکنید فقط شب‌ها آزار اتفاق می‌افته.,,,2026-12-16,2026,12,16,0,2,Wednesday,Winter,2026-12,Iran
zahra833,"Mar 17, 2025",شاهد حادثه دنبال کردن مترو لرستان بودم. ساعت ۱۵ بعدازظهر زنی کمک می‌خواست ولی... در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید تغییر کنه. https://t.co/2e1be58,زن_زندگی_آزادی,,2025-03-17,2025,3,17,0,0,Monday,Spring,2025-03,Iran
narges449,"Sep 21, 2017",شاهد حادثه تفقی در خیابان شهر سنندج بودم. بعدازظهر دختری کمک می‌خواست ولی... در ساعات روز هم این اتفاق‌ها میفته. فضای عمومی باید تغییر کنه.,,,2017-09-21,2017,9,21,0,3,Thursday,Fall,2017-09,Iran
